,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
206,19/10/2020,DRS 09 Marília,71.14,160.86,44.22,1109670.0,14.5,141.0,191.0,-26.18
207,19/10/2020,DRS 10 Piracicaba,70.86,234.86,30.17,1539600.0,15.25,126.0,163.0,-22.7
208,19/10/2020,DRS 11 Presidente Prudente,38.86,77.86,49.91,752260.0,10.35,95.0,175.0,-45.71
209,19/10/2020,DRS 12 Registro,7.71,39.0,19.77,278754.0,13.99,21.0,32.0,-34.37
210,19/10/2020,DRS 13 Ribeirão Preto,140.29,296.57,47.3,1477530.0,20.07,314.0,404.0,-22.28
211,19/10/2020,DRS 14 São João da Boa Vista,46.86,127.0,36.9,809836.0,15.68,113.0,137.0,-17.52
212,19/10/2020,DRS 15 São José do Rio Preto,218.43,437.14,49.97,1570421.0,27.84,456.0,660.0,-30.91
213,19/10/2020,DRS 16 Sorocaba,111.57,230.14,48.48,2461760.0,9.35,210.0,223.0,-5.83
214,19/10/2020,DRS 17 Taubaté,138.71,385.86,35.95,2489629.0,15.5,283.0,336.0,-15.77
215,19/10/2020,Estado de São Paulo,3361.71,8208.0,40.96,44639899.0,18.39,6586.0,8054.0,-18.23
216,20/10/2020,DRS 01 Grande São Paulo,1822.0,4501.14,40.48,21138247.0,21.29,3498.0,3870.0,-9.61
217,20/10/2020,DRS 02 Araçatuba,59.14,115.86,51.04,764041.0,15.16,125.0,140.0,-10.71
218,20/10/2020,DRS 03 Araraquara,34.43,122.29,28.15,991435.0,12.33,175.0,247.0,-29.15
219,20/10/2020,DRS 04 Baixada Santista,119.71,399.29,29.98,1831884.0,21.8,194.0,207.0,-6.28
220,20/10/2020,DRS 05 Barretos,48.14,91.0,52.9,425090.0,21.41,97.0,140.0,-30.71
221,20/10/2020,DRS 06 Bauru,127.0,228.43,55.6,1741281.0,13.12,244.0,316.0,-22.78
222,20/10/2020,DRS 07 Campinas,216.71,591.14,36.66,4562125.0,12.96,363.0,490.0,-25.92
223,20/10/2020,DRS 08 Franca,43.29,109.71,39.46,696336.0,15.76,96.0,120.0,-20.0
224,20/10/2020,DRS 09 Marília,70.43,160.29,43.94,1109670.0,14.44,137.0,185.0,-25.95
225,20/10/2020,DRS 10 Piracicaba,68.14,232.57,29.3,1539600.0,15.11,126.0,150.0,-16.0
226,20/10/2020,DRS 11 Presidente Prudente,37.14,77.57,47.88,752260.0,10.31,103.0,163.0,-36.81
227,20/10/2020,DRS 12 Registro,7.0,39.0,17.95,278754.0,13.99,24.0,30.0,-20.0
228,20/10/2020,DRS 13 Ribeirão Preto,138.43,296.71,46.65,1477530.0,20.08,312.0,381.0,-18.11
229,20/10/2020,DRS 14 São João da Boa Vista,46.29,126.71,36.53,809836.0,15.65,108.0,133.0,-18.8
230,20/10/2020,DRS 15 São José do Rio Preto,216.86,433.57,50.02,1570421.0,27.61,464.0,637.0,-27.16
231,20/10/2020,DRS 16 Sorocaba,110.0,230.14,47.8,2461760.0,9.35,223.0,230.0,-3.04
232,20/10/2020,DRS 17 Taubaté,134.29,385.71,34.82,2489629.0,15.49,281.0,326.0,-13.8
233,20/10/2020,Estado de São Paulo,3299.0,8141.14,40.52,44639899.0,18.24,6570.0,7765.0,-15.39
234,21/10/2020,DRS 01 Grande São Paulo,1792.57,4454.71,40.24,21138247.0,21.07,3617.0,3702.0,-2.3
235,21/10/2020,DRS 02 Araçatuba,57.86,116.29,49.75,764041.0,15.22,120.0,134.0,-10.45
236,21/10/2020,DRS 03 Araraquara,34.57,122.14,28.3,991435.0,12.32,186.0,224.0,-16.96
